Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
51163446,Building Machine Learning Pipelines: Automating Model Life Cycles with Tensorflow,Hannes Hapke,"Hapke, Hannes",Catherine Nelson,"=""1492053198""","=""9781492053194""",0,3.69,O'Reilly Media,Paperback,366,2020,,,2021/08/08,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
37761872,Natural Language Processing in Action,Hobson Lane,"Lane, Hobson","Cole Howard, Hannes Hapke","=""1617294632""","=""9781617294631""",0,4.07,Manning Publications,Paperback,544,2019,,,2021/08/06,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
54968118,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,"Isaacson, Walter",,"=""1982115858""","=""9781982115852""",0,4.35,Simon  Schuster,Hardcover,536,2021,2021,,2021/08/06,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
55275944,Machine Learning Engineering,Andriy Burkov,"Burkov, Andriy",,"=""""","=""""",0,4.24,,Kindle Edition,,2020,,,2021/08/06,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
50705179,Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,"Smil, Vaclav",,"=""0241454417""","=""9780241454411""",0,3.88,Viking,Hardcover,384,2020,2020,,2021/08/05,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
26535513,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,"Knaflic, Cole Nussbaumer",,"=""1119002257""","=""9781119002253""",0,4.40,Wiley,Paperback,288,2015,2015,,2021/08/02,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
25366604,"The Neurogenesis Diet and Lifestyle: Upgrade Your Brain, Upgrade Your Life",Brant Cortright,"Cortright, Brant",,"=""""","=""""",0,4.23,Psyche Media,Kindle Edition,294,2015,2015,,2021/07/29,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
52160040,"Advanced Deep Learning with TensorFlow 2 and Keras: Apply DL, GANs, VAEs, deep RL, unsupervised learning, object detection and segmentation, and more, 2nd Edition",Rowel Atienza,"Atienza, Rowel",,"=""""","=""9781838821654""",0,4.50,,kindle_edition,,2020,,,2021/07/27,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
38242135,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Lee, Kai-Fu",,"=""132854639X""","=""9781328546395""",4,4.11,Mariner Books,Hardcover,255,2018,2018,2021/07/28,2021/06/26,,,read,"First few chapters are quite insightful. The last few focus on conjecturing about the future. However, it is too filled with the author's bias view",,,1,,,0,,,,,
51278619,Hands-On Computer Vision with TensorFlow 2: Leverage deep learning to create powerful image processing apps with TensorFlow 2.0 and Keras,Benjamin Planche,"Planche, Benjamin",Eliot Andres,"=""""","=""""",0,4.50,Packt Publishing,Kindle Edition,372,2019,,,2021/07/27,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
40717503,Generative Adversarial Networks Projects: Build next-generation generative models using TensorFlow and Keras,Kailash Ahirwar,"Ahirwar, Kailash",,"=""""","=""""",1,3.00,Packt Publishing,Kindle Edition,316,2019,,,2021/07/26,,,read,"I don't see the point of this book. If it was to show the theory behind, then the book just threw a bunch of concept together without explaining how they work, when to use them, etc. If it is to show how to code these projects, then the code level is very poor. A prime example is chapter 3, where the load_images function is obviously poorly constructed, leading to hours of waste time running that 1 function. A number of issue has been mentioned on github, but the author is unresponsive. It seems like the author himself has given up on this",,,1,,,0,,,,,
30741739,Machine Learning Yearning,Andrew Ng,"Ng, Andrew",,"=""""","=""""",0,4.30,,ebook,118,,,,2021/07/23,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
37773354,"Deep Reinforcement Learning Hands-On: Apply modern RL methods, with deep Q-networks, value iteration, policy gradients, TRPO, AlphaGo Zero and more",Maxim Lapan,"Lapan, Maxim",,"=""""","=""""",0,4.32,Packt Publishing,Kindle Edition,546,2018,,,2021/07/17,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
50075895,Deep Reinforcement Learning in Action,Alexander Zai,"Zai, Alexander",Brandon Brown,"=""1617295434""","=""9781617295430""",0,4.20,Manning,Paperback,325,2020,,,2021/07/17,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
55275019,"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps",Valliappa Lakshmanan,"Lakshmanan, Valliappa","Sara Robinson, Michael Munn","=""1098115783""","=""9781098115784""",0,4.21,O'Reilly Media,Paperback,400,2020,,,2021/07/17,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
55624521,Dive into Deep Learning,Aston Zhang,"Zhang, Aston","Zachary C. Lipton, Mu Li, Alexander J. Smola","=""""","=""""",0,4.38,,ebook,979,2020,,,2021/07/15,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
36703132,Advances in Financial Machine Learning,Marcos López de Prado,"Prado, Marcos López de",,"=""1119482119""","=""9781119482116""",0,4.19,Wiley,ebook,400,2018,2018,,2021/07/09,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
25752783,Web Scraping with Python: Collecting Data from the Modern Web,Ryan Mitchell,"Mitchell, Ryan",,"=""""","=""""",0,4.21,O'Reilly Media,Kindle Edition,256,2015,2015,,2021/07/09,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
44144492,"Generative Deep Learning: Teaching Machines to Paint, Write, Compose, and Play",David        Foster,"Foster, David",,"=""1492041947""","=""9781492041948""",3,4.26,O'Reilly Media,Paperback,330,2019,,,2021/07/08,,,read,"I would definitely rate this book higher once the code base is documented. Overall, the concept explained is done very well. However, the level of details, and shall I say effort, are not the same in the latter part of the book. Especially for the generating music chapter. I understand that the book goes over quickly on a few part, otherwise it would be a few hundred of pages more ( I wouldn't mind that at all, considering how well the author explains the concept when he tries to do so). But some parts are just very difficult to understand without the proper documentation of the code, and any explanation in the book. I hope the author will start commenting his code on git hub soon enough, allowing for more readers to have a clearer understanding of what is going on under the hood",,,1,,,0,,,,,
48930266,Seven and a Half Lessons About the Brain,Lisa Feldman Barrett,"Barrett, Lisa Feldman",,"=""0358157145""","=""9780358157144""",0,4.09,Mariner Books,Hardcover,192,2020,2020,,2021/07/08,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
50204636,Building Machine Learning Powered Applications: Going from Idea to Product,Emmanuel Ameisen,"Ameisen, Emmanuel",,"=""149204511X""","=""9781492045113""",0,4.27,O'Reilly Media,Paperback,256,2020,,,2021/07/08,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
33357752,Spanish Short Stories For Intermediate Learners: 8 Unconventional Short Stories to Grow Your Vocabulary and Learn Spanish the Fun Way!,Olly Richards,"Richards, Olly",,"=""""","=""""",5,4.22,,Kindle Edition,217,2016,,2021/06/30,2021/06/29,,,read,very enjoyable read. help expand my vocabulary by a lot,,,2,,,0,,,,,
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""0553418815""","=""9780553418811""",3,3.88,Crown,Hardcover,259,2016,2016,,2021/04/24,,,read,"First part was interesting. Afterward it was rather repetitive. The author focuses too much on touching on as many area as possible, rather than giving convincing argument. Some points are poorly made, and it is quite clear that the author has limited knowledge on these topics",,,1,,,0,,,,,
52661559,Build a Career in Data Science,Emily  Robinson,"Robinson, Emily",Jacqueline Nolis,"=""1617296244""","=""9781617296246""",0,4.47,MEAP,Hardcover,250,2020,,,2021/06/26,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",5,4.43,Metropolitan Books,Hardcover,282,2014,2014,,2021/06/26,,,read,,,,1,,,0,,,,,
41724711,Deep Learning for Computer Vision with Python — Practitioner Bundle,Adrian Rosebrock,"Rosebrock, Adrian",,"=""""","=""""",2,4.41,,ebook,280,2017,,,2021/06/17,,,read,"substantially worse. I fail to see the point of this second book. a lot of topics introduced, such as image augmentation and transfer learning  are rather simple.  The book fails to actually go to more advance topic. Instead, it just introduces different architecture for CNN, while introducing these differences in a very shallow way. The part on different optimization, he literally throw in there 4-5 new optimization, without really showing the difference in performance",,,1,,,0,,,,,
37846923,Deep Learning for Computer Vision with Python — Starter Bundle,Adrian Rosebrock,"Rosebrock, Adrian",,"=""""","=""""",4,4.34,,ebook,330,2017,2017,2021/06/14,2021/06/14,,,read,,,,1,,,0,,,,,
148009,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",Trevor Hastie,"Hastie, Trevor","Robert Tibshirani, Jerome Friedman","=""0387952845""","=""9780387952840""",0,4.41,Springer,Hardcover,533,2003,2001,,2021/05/28,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
